Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-01-26T22:59:59.000Z,3563.2780095528,3566.6662254659,3648.4999031042,3541.1709868168
BTC,2019-01-27T23:00:00.000Z,3539.6209472447,3563.1602016498,3564.954936082,3481.3844702502
BTC,2019-01-28T22:59:58.000Z,3425.2621611882,3530.2037098414,3541.4171613861,3374.4639009087
BTC,2019-01-29T22:59:59.000Z,3395.0186452497,3429.7077486011,3438.0683712479,3346.1431882717
BTC,2019-01-30T23:00:00.000Z,3441.0322154158,3395.2247993224,3460.2319504376,3371.6887461729
BTC,2019-01-31T23:00:00.000Z,3420.633226576,3434.5218470937,3471.2474609692,3394.2846344068
BTC,2019-02-01T23:00:00.000Z,3439.8056988758,3412.7222187981,3454.4143010866,3375.7316830155
BTC,2019-02-02T23:00:00.000Z,3433.0352852216,3440.0768467245,3453.6943391505,3409.5411062042
BTC,2019-02-03T23:00:00.000Z,3404.499313399,3433.0448952612,3487.5719731172,3386.5793662385
BTC,2019-02-04T22:59:59.000Z,3412.2304311019,3417.0229432502,3442.6380964385,3393.9942103601
BTC,2019-02-05T23:00:00.000Z,3419.7678987458,3412.2303777078,3433.6896318768,3398.9557445455
BTC,2019-02-06T23:00:00.000Z,3367.5190315823,3428.981334945,3441.9204599448,3344.1244221554
BTC,2019-02-07T22:59:59.000Z,3360.534075862,3365.5294725506,3380.7838372438,3349.755990129
BTC,2019-02-08T22:59:59.000Z,3591.0221518825,3360.5344472195,3702.4815714913,3343.3434931607
BTC,2019-02-09T23:00:00.000Z,3617.4646801319,3621.6273862828,3638.4942900867,3590.2892237183
BTC,2019-02-10T22:59:59.000Z,3621.1540027134,3617.4645020652,3631.0382194861,3577.9800927456
BTC,2019-02-11T22:59:59.000Z,3593.1831765659,3621.1736667164,3653.1166205433,3579.4289942413
BTC,2019-02-12T22:59:59.000Z,3579.3418810265,3593.1832668492,3616.4232425127,3546.2494328416
BTC,2019-02-13T22:59:59.000Z,3569.5548327757,3589.2241478165,3625.7904946388,3556.8985517884
